,source_id
380,66553443128503552
381,64894623677888640
382,64895139073954944
383,68354374452892160
384,66555573432261376
385,66555985749157760
386,66556535504957568
387,66556535504958848
388,68356367317952128
389,66556672943906688
390,64899017426872960
391,68356367317952256
392,64900739711320960
393,66558249192653952
394,68363411064150272
395,66560349435890176
396,66560727393001216
397,64905618794174720
398,68367190635351936
399,66565365957676416
400,66565778274538624
401,64909153549943296
402,66566946505629440
403,64912009705490304
404,66570554277316992
405,64913452814489216
406,68378563708730624
407,64915754917051520
408,64916751349465856
409,64917094946846848
410,68381793524163968
411,64922283267331968
412,64923279699744256
413,64924413571101952
414,68385057699293056
415,64927368508592512
416,64928674178659968
417,64929391436043264
418,66581549393480704
419,66581961710329984
420,64930495244783616
421,64933759417769984
422,68390417818463872
423,64934893291213952
424,68390830135333504
425,64936508198907904
426,64940906245415808
427,64941211186036352
428,68395399980532864
429,68395606138958592
430,64943758103791104
431,64942001460286080
432,68398732874994944
433,66593437863017984
434,64946025846426752
435,66597767189992832
436,64950488315122560
437,64951111087777536
438,64952068862923520
439,64952829074688896
440,64956127609464320
441,64956127609659008
442,64959662365552384
443,64960663095015680
444,64962174923490304
445,64963377514329984
446,64964717544035200
447,64966916567283456
448,66612473157921024
449,64967569402404480
450,64967603762044928
451,64971933089093760
452,68433814167849728
453,64974338270788864
454,64974574492213248
455,64977705525131904
456,64979732749686016
457,64980832261312640
458,64981137202021376
459,66624357329718400
460,64981863053470592
461,64981931772948480
462,64982344089813248
463,68444878003882240
464,64984951133439232
465,64985127228608128
466,68448142178730752
467,64987876007763968
468,64988322684358144
469,64988803720689408
470,64989490915460608
471,68449757086421760
472,64990349908937984
473,64990586130069504
474,64990792288875264
475,68452265347345664
476,64993579724240896
477,68458514523905408
478,64997187496822912
479,64998905483757568
480,64999558318784768
481,64999588381514496
482,65000417312240896
483,65000863988835200
484,68468203969427200
485,66640712564777856
486,65003612767943040
487,65004437401569664
488,65004712279475712
489,65005262035285888
490,65005846150835200
491,66642641008348416
492,65007083101413888
493,65008010814357248
494,65008388771477120
495,68475904847290240
496,65010239900405504
497,65010519075247616
498,65010549138050944
499,65011481147922560
500,65011962184337664
501,65012408860856832
502,66648001127514368
503,65013474012743936
504,65014195567317504
505,65014985841292032
506,66652467893487488
507,65017627244152064
508,65017906418989312
509,65018417518780672
510,65019246448775424
511,65020414679879296
512,66655560269868544
513,66657415696297344
514,66658240329321088
515,65023232178029440
516,66658996243552000
517,66659271121456768
518,66659408560406528
519,65026839950559744
520,65027595864800000
521,65027905102436608
522,65029550073165184
523,68505110624876032
524,66665902550940672
525,66665902550940800
526,68506347575444096
527,65037731987586304
528,65038281743395584
529,65040686925109760
530,68513356962056704
531,65042439271761280
532,65042645428743680
533,68514559552895488
534,65047043476608128
535,65053915424355584
536,65056526764528128
537,65058760147520000
538,68530124514310912
539,68540535515653504
540,65072435323295872
541,65078929312363392
542,65079788307324672
543,65084358152509440
544,65086591535491584
545,65088275162687104
546,66694455493470464
547,65089336018173440
548,65089473457126784
549,66699712533433600
550,66702048996405632
551,65098514364769408
552,65101606741121792
553,65107860213588096
554,65108714911246720
555,66710845088732160
556,66710948167949696
557,66711532283494656
558,66712253837994880
559,65112739296356608
560,65113559634339200
561,68580530251050496
562,66715105696289024
563,66715273197982848
564,66715827250786432
565,68581694185489920
566,66717987616472704
567,66719194505127168
568,66719228864863360
569,65119164567417856
570,66720534534913792
571,65120470237460480
572,66722660540945408
573,65125452399528320
574,65125864716379264
575,68591456647799552
576,66727234683931520
577,65128506120036352
578,66728089380491648
579,66728089380492160
580,66728128037119616
581,66728265476081408
582,68593346433465856
583,66729021390315904
584,66729261908482048
585,66729635568719872
586,66729674225341696
587,66729880383767168
588,68595751615127296
589,65134592089910656
590,65135176205557888
591,66732423004453376
592,65136791113382912
593,68600321460320768
594,66733763034205696
595,66734725106867968
596,66735446661374976
597,66737095928811648
598,68605058807852928
599,66737405166459264
600,66737576965143296
601,66738023641737088
602,68606918530067072
603,66739982146803456
604,66740497542906368
605,66741116018188416
606,66742765285619584
607,65147438335354624
608,66745170467302656
609,66745617143891968
610,66745754582838272
611,66746441777612416
612,68616779774936064
613,65150947325369600
614,65151531440914560
615,66747816167123712
616,65153833543386624
617,66749121837171840
618,65155856471318912
619,68624613795266432
620,65156891560085504
621,66750358787789056
622,66754241438299520
623,65161250950264192
624,65161976802151680
625,65163110673516928
626,66755959425257856
627,65164171528305792
628,65165653294149760
629,66757746131459200
630,65167577439502592
631,65168844452782208
632,65169943964429952
633,65170016980919808
634,66761903659793152
635,65173620458875008
636,66763965244167808
637,65175480179315840
638,66765751950550144
639,66765855029760768
640,65179946945247488
641,65181527493208192
642,65184894747573376
643,66771764904729984
644,66767843597097856
645,66774513683782912
646,65188090203295744
647,65189739470654464
648,65190048708380160
649,65190220507070208
650,66779358406877568
651,66779564565300224
652,65194584193758336
653,65196370900147968
654,65196405259884544
655,66781316909399424
656,65199222758514048
657,66781832308018176
658,65199978672758272
659,65200283613608704
660,65201039527567232
661,65201249983083392
662,66782897460055424
663,66782931820393216
664,66783099321711360
665,65202383854448384
666,65202830531043968
667,66783584654831872
668,65203758244032512
669,66786505232432512
670,66786539592171392
671,68660554081641472
672,65206674525036672
673,66786951909028736
674,66787119410915072
675,66788253282520192
676,66788291938818304
677,65207709611941376
678,66788669895935616
679,65208396808627840
680,65211145587780992
681,65211557904569856
682,66791483097102464
683,66791624833561856
684,66791659193405952
685,65212107660378880
686,65212760495396736
687,65212932294091264
688,65213172812266240
689,65213172812266752
690,66792999222948992
691,66793583338514816
692,65214409762926720
693,65214856439472640
694,65215058301202816
695,65216363971331072
696,65216643145862144
697,65221487868870784
698,66798496781121792
699,66798526845337344
700,65222518661019520
701,65222759179728640
702,66798977817468288
703,66799763794633856
704,66799768088857856
705,65223515093523328
706,65223618172733952
707,66800180408292992
708,66800244832257280
709,66800592725851776
710,65224442806459008
711,66801623517295104
712,65225469302220800
713,65225611037551360
714,66802207632871808
715,66802276352348416
716,65226092073881856
717,66804406656115328
718,65228772133391488
719,65229184450247296
720,66807464672814336
721,66808220587759104
722,65230764996027776
723,66808839062339712
724,66808869124393600
725,66809491897360896
726,65231486552803328
727,66811450402457216
728,65232066371441792
729,65232757863112192
730,66816295125702144
731,65237911823760640
732,66818322350220416
733,65241313435901568
734,65241313437941504
735,65241863193865856
736,66820590092840960
737,65244435877629824
738,65244646332548352
739,65244749411766528
740,66821655244731264
741,65245539685760640
742,65247704349267584
743,66823132713476480
744,65249250535404928
745,66824472743376768
746,65254576296865152
747,65254885534508672
748,66828870789879168
749,65257187636977536
750,66831069813319936
751,66831172892327680
752,65263097511969792
753,66832100605159424
754,65263612908043392
755,65264506261240448
756,65264673762670080
757,65265674492422784
758,65267078945207296
759,65267388182879104
760,66838452861270272
761,65269935099961600
762,65270450496044416
763,65272817023559040
764,65275020341243520
765,65275089060719104
766,65276703968959488
767,66846291177113088
768,65277975278721408
769,65279418387728896
770,66850517426494208
771,65280036863012864
772,65280552259109760
773,65281166437426176
774,65281239453865856
775,65282098447322752
776,66852647730267264
777,65284469269256704
778,65287458566524928
779,65289004754691200
780,65289279632598016
781,65289588870240384
782,65289623229979136
783,65292268929825408
784,65293368441513344
785,65294807253267328
786,65295430026352512
787,65296357738731008
788,65297251091930624
789,65297594689312768
790,65298208867376384
791,65298483745290368
792,65299965511216384
793,65304604076598784
794,66867800374681344
795,65309100904545280
796,66876596467931776
797,66878245735176704
798,66880307319457408
799,65330099002345216
800,66885942316710784
801,66886011036187392
802,66887660303617408
803,68828225308044288
804,66894772769437952
805,65349684053273600
806,66897933865345920
807,66898002584817280
808,66899239535574400
809,66903293984399872
810,66911231083913600
811,66926211929978880
812,65393698877913728
813,66930403817997696
814,66939848447027584
815,66941635153934848
816,66950435545271680
817,65419434321982464
818,66957994687842176
819,63289920816208768
820,66960262430594816
821,65431185353051776
822,66960743466922624
823,65434518247043072
824,65435102362687616
825,66969676998824576
826,65437644983223936
827,65437644983224320
828,66974453002505088
829,66980362877378432
830,66982458821495424
831,63327682168301952
832,65467778474649856
833,65471729844532864
834,66997817623367296
835,67011767677005568
836,63391178965446656
837,65506467539939584
838,63410622280810368
839,63436396380626688
840,67054305033161344
841,65544538129847936
842,67069835634816896
843,65552681387907200
844,67074096242336384
845,65561473183104640
846,67085641114472320
847,65576011650237440
848,70938810893886208
849,71021927100882560
850,71036358190950528
851,71042439864623104
852,71056252479453056
853,71078483230315520
854,71079441007018880
855,71100404743364992
856,71103428400426368
857,71108440625265280
858,71151841271691904
859,71161771235981312
860,71202831123254272
861,71207710206088192
862,71216093982249984
863,71262410909499264
864,71351883668034048
865,71371262561007232
866,71404385348752768
867,71409985986006016
868,69962719446879232
869,69964879813013248
870,69968113925681408
871,69974504837007232
872,69977597213945984
873,69983369649631872
874,69985499953396480
875,69985637392346496
876,69988489250631680
877,69990241597280640
878,71452282823829632
879,69992371901046400
880,69996976105980800
881,70010303387697024
882,71468294461982592
883,70019378655328768
884,70024356520465664
885,70028170451469312
886,70037795475083008
887,70042743277270016
888,70044456967585280
889,70044628765739776
890,70049477786093056
891,70060610341280128
892,70072773688658432
893,70077270518065920
894,70087612798384384
895,70091259227969920
896,70097581419826944
897,70098612211973248
898,70118197262752768
899,70121805035254144
900,70123003329050880
901,70125000491024128
902,70127955428529536
903,70129050643128832
904,70132658415356672
905,70138881823528832
906,70146853284493312
907,70152144684310144
908,70153484713977472
909,70150357977789056
910,70158977974956672
911,70160287942261376
912,70165476262750976
913,70169251536714624
914,70175474946486784
915,70176265220466048
916,70180216590377600
917,70189837317110016
918,70200935512668800
919,70201725786644608
920,70215705904150272
921,70230652389756928
922,70241033326866944
923,70242785673539712
924,70252681278085376
925,70271854012150912
926,70274190474468864
927,70286319462343808
928,70313016978627584
929,70334384440377472
930,70356580830628864
931,71723862196809856
932,70376097161725952
933,70403589251055232
934,70404894921335936
935,70433241705178240
936,70453303494018432
937,70457671479120000
938,70461554129560448
939,70462688000922880
940,70493268167993984
941,70495707709395584
942,71917685480203136
943,53029278307021696
944,51460756250025088
945,51577476281360512
946,53335045618385536
947,51616268426009472
948,51619120284286976
949,51694746068624128
950,51760270089541504
951,53465573967635456
952,51765595848971648
953,53783852522073856
954,53864804065393536
955,119400851039785600
956,119520079331712896
957,119776604841920896
